date,che
05/05/2022,15.3066
06/05/2022,15.2312
09/05/2022,15.1818
10/05/2022,15.1426
11/05/2022,15.3434
12/05/2022,15.498
13/05/2022,15.4789
16/05/2022,15.4912
17/05/2022,15.5577
18/05/2022,15.909
20/05/2022,16.0381
23/05/2022,16.4495
24/05/2022,16.4285
25/05/2022,16.7465
26/05/2022,16.9618
27/05/2022,17.1208
30/05/2022,17.1138
31/05/2022,17.1465
01/06/2022,17.1353
02/06/2022,17.1432
03/06/2022,17.1983
06/06/2022,17.26
07/06/2022,17.2948
08/06/2022,17.1925
09/06/2022,17.5717
10/06/2022,17.6544
13/06/2022,17.4735
14/06/2022,17.4359
15/06/2022,17.4355
16/06/2022,17.3577
17/06/2022,17.655
20/06/2022,17.9883
21/06/2022,18.0142
22/06/2022,18
23/06/2022,18.0033
24/06/2022,18.0454
27/06/2022,18.1694
28/06/2022,17.4468
29/06/2022,17.4677
30/06/2022,17.5416
01/07/2022,17.4813
04/07/2022,17.5067
05/07/2022,17.572
06/07/2022,17.6519
07/07/2022,17.79
08/07/2022,17.8355
13/07/2022,17.8355
14/07/2022,17.8451
18/07/2022,17.818
19/07/2022,17.973
20/07/2022,18.1593
21/07/2022,18.1881
22/07/2022,18.199
25/07/2022,18.3944
26/07/2022,18.5447
27/07/2022,18.558
28/07/2022,18.6515
29/07/2022,18.7313
01/08/2022,18.865
02/08/2022,18.9489
03/08/2022,18.9132
04/08/2022,18.7832
05/08/2022,18.7488
08/08/2022,18.845
09/08/2022,18.7986
10/08/2022,18.8874
11/08/2022,18.943
12/08/2022,19.1482
15/08/2022,19.1174
16/08/2022,19.0719
17/08/2022,18.9875
18/08/2022,18.9378
19/08/2022,18.9274
22/08/2022,18.9681
23/08/2022,18.9505
24/08/2022,18.8167
25/08/2022,18.8859
26/08/2022,18.923
29/08/2022,18.9062
31/08/2022,18.8309
01/09/2022,18.6609
02/09/2022,18.6786
05/09/2022,18.6302
06/09/2022,18.61
07/09/2022,18.644
08/09/2022,18.5825
09/09/2022,18.7677
12/09/2022,19.0645
13/09/2022,19.1545
14/09/2022,19.2521
15/09/2022,19.0471
16/09/2022,19.091
19/09/2022,19.0205
20/09/2022,18.9627
21/09/2022,19.0178
22/09/2022,19.0404
23/09/2022,18.8686
26/09/2022,18.8069
27/09/2022,18.7396
28/09/2022,18.7518
29/09/2022,18.7146
30/09/2022,18.9299
03/10/2022,19.0101
04/10/2022,18.8309
05/10/2022,18.8354
06/10/2022,18.955
07/10/2022,18.9742
10/10/2022,18.8137
11/10/2022,18.6806
12/10/2022,18.6589
13/10/2022,18.7339
14/10/2022,18.6678
17/10/2022,18.6181
18/10/2022,18.6076
19/10/2022,18.7307
20/10/2022,18.6374
21/10/2022,18.5647
24/10/2022,18.4744
25/10/2022,18.6468
26/10/2022,18.6104
27/10/2022,18.8647
28/10/2022,18.8747
31/10/2022,18.8747
01/11/2022,18.6792
02/11/2022,18.765
03/11/2022,18.7221
04/11/2022,18.4838
07/11/2022,18.5011
08/11/2022,18.7957
09/11/2022,18.838
10/11/2022,18.9385
11/11/2022,18.9042
14/11/2022,19.3399
15/11/2022,19.7216
16/11/2022,19.8469
17/11/2022,19.8311
18/11/2022,19.7198
21/11/2022,19.6213
22/11/2022,19.4992
23/11/2022,19.5382
24/11/2022,19.6357
25/11/2022,19.8182
28/11/2022,19.7741
29/11/2022,19.8002
30/11/2022,19.6888
01/12/2022,19.6529
02/12/2022,19.7973
05/12/2022,19.9873
06/12/2022,19.9839
07/12/2022,19.8212
08/12/2022,19.8422
09/12/2022,19.8645
12/12/2022,20.0301
13/12/2022,20.023
14/12/2022,19.9772
15/12/2022,20.1598
16/12/2022,20.1535
19/12/2022,20.1422
20/12/2022,20.0974
21/12/2022,20.193
22/12/2022,20.1995
23/12/2022,20.2559
26/12/2022,20.1285
27/12/2022,20.101
28/12/2022,20.1856
29/12/2022,20.2059
30/12/2022,20.2728
02/01/2023,20.3316
03/01/2023,20.3105
04/01/2023,20.1228
05/01/2023,20.2434
06/01/2023,20.2802
09/01/2023,20.0489
10/01/2023,20.3703
11/01/2023,20.4477
12/01/2023,20.4071
13/01/2023,20.2037
16/01/2023,20.2883
17/01/2023,20.3484
18/01/2023,20.4091
19/01/2023,20.576
20/01/2023,20.5711
23/01/2023,20.5249
24/01/2023,20.5361
25/01/2023,20.4567
26/01/2023,20.4319
27/01/2023,20.5476
30/01/2023,20.4662
31/01/2023,20.4877
01/02/2023,20.353
02/02/2023,20.5986
03/02/2023,20.7656
06/02/2023,20.6473
07/02/2023,20.4118
08/02/2023,20.3806
09/02/2023,20.5422
10/02/2023,20.5581
13/02/2023,20.4785
14/02/2023,20.4583
15/02/2023,20.5934
16/02/2023,20.4769
17/02/2023,20.4988
20/02/2023,20.3062
21/02/2023,20.4911
22/02/2023,20.4603
23/02/2023,20.4125
24/02/2023,20.3195
27/02/2023,20.2501
28/02/2023,20.1218
01/03/2023,20.1981
02/03/2023,20.1963
03/03/2023,20.114
06/03/2023,20.1752
07/03/2023,20.2878
08/03/2023,20.3582
09/03/2023,20.1442
10/03/2023,20.256
13/03/2023,20.4528
14/03/2023,20.7915
15/03/2023,20.8674
16/03/2023,20.7348
17/03/2023,20.5497
20/03/2023,20.5784
21/03/2023,20.5544
22/03/2023,20.5686
23/03/2023,20.7006
24/03/2023,20.8588
27/03/2023,20.8055
28/03/2023,20.8809
29/03/2023,20.8862
30/03/2023,20.8708
31/03/2023,20.9859
03/04/2023,20.9955
04/04/2023,20.9988
05/04/2023,21.1363
06/04/2023,21.3283
07/04/2023,21.3365
10/04/2023,21.3624
11/04/2023,21.3202
12/04/2023,21.373
13/04/2023,21.4611
14/04/2023,21.7282
17/04/2023,21.8637
18/04/2023,21.7386
19/04/2023,21.7013
20/04/2023,21.6517
24/04/2023,21.6517
25/04/2023,21.863
26/04/2023,21.9405
27/04/2023,21.8897
28/04/2023,21.8359
02/05/2023,21.7867
03/05/2023,21.7423
04/05/2023,21.9776
05/05/2023,22.0602
08/05/2023,21.9583
09/05/2023,22.022
10/05/2023,21.9466
11/05/2023,21.998
12/05/2023,21.9492
15/05/2023,22.0036
16/05/2023,21.9909
17/05/2023,22.1186
18/05/2023,22.0423
22/05/2023,22.0446
23/05/2023,22.1865
24/05/2023,22.1124
25/05/2023,22.1013
26/05/2023,22.0662
29/05/2023,22.1766
30/05/2023,22.2676
31/05/2023,22.5595
01/06/2023,22.7867
02/06/2023,22.9116
05/06/2023,23.1203
06/06/2023,23.3151
07/06/2023,23.765
08/06/2023,25.4967
09/06/2023,25.7496
12/06/2023,26.1211
13/06/2023,26.2362
14/06/2023,26.2136
15/06/2023,26.2227
16/06/2023,26.298
19/06/2023,26.6273
20/06/2023,26.5247
21/06/2023,26.3931
22/06/2023,26.3334
23/06/2023,26.5493
26/06/2023,28.1917
27/06/2023,28.9929
03/07/2023,28.9929
04/07/2023,29.0749
05/07/2023,29.1498
06/07/2023,29.1156
07/07/2023,29.1553
10/07/2023,29.1904
11/07/2023,29.395
12/07/2023,29.6712
13/07/2023,29.8486
14/07/2023,30.386
17/07/2023,30.5699
18/07/2023,30.6637
19/07/2023,31.3859
20/07/2023,31.4583
21/07/2023,31.455
24/07/2023,31.1716
25/07/2023,31.2114
26/07/2023,31.1296
27/07/2023,31.3606
28/07/2023,31.5504
31/07/2023,31.0749
01/08/2023,31.065
02/08/2023,30.9254
03/08/2023,30.8433
04/08/2023,30.8456
07/08/2023,30.8596
08/08/2023,30.9096
09/08/2023,30.9563
10/08/2023,30.9561
11/08/2023,31.0202
14/08/2023,30.9425
15/08/2023,30.9358
16/08/2023,30.9589
17/08/2023,30.8838
18/08/2023,30.92
21/08/2023,30.8684
22/08/2023,30.957
23/08/2023,31.0861
24/08/2023,30.983
25/08/2023,30.9202
28/08/2023,29.9336
29/08/2023,30.1377
31/08/2023,30.168
01/09/2023,30.3953
04/09/2023,30.3507
05/09/2023,30.3627
06/09/2023,30.2591
07/09/2023,30.2065
08/09/2023,30.1701
11/09/2023,30.205
12/09/2023,30.2393
13/09/2023,30.2486
14/09/2023,30.2633
15/09/2023,30.2475
